"";"labor.force.participation.rate";"employment.population.ratio";"labor.force";"employment";"unemployment";"unemployment.rate"
"Georgia-2000";68,9666666666667;66,55;4203318,16666667;4055573,66666667;147744,5;3,53333333333333
"Georgia-2001";68,3666666666667;65,575;4256623,66666667;4082878,83333333;173744,833333333;4,09166666666667
"Georgia-2002";68,375;64,7583333333333;4342345,91666667;4112496,41666667;229849,5;5,30833333333333
"Georgia-2003";68,25;64,7416666666667;4413245,91666667;4185872,5;227373,416666667;5,14166666666667
"Georgia-2004";67,7416666666667;64,275;4463887,83333333;4235823,41666667;228064,416666667;5,08333333333333
"Georgia-2005";68,1583333333333;64,2666666666667;4598017,25;4336462,66666667;261554,583333333;5,68333333333333
"Georgia-2006";68,1666666666667;64,7;4713831,16666667;4474419,83333333;239411,333333333;5,075
"Georgia-2007";68,0166666666667;64,6666666666667;4810726,16666667;4573705,66666667;237020,5;4,90833333333333
"Georgia-2008";67,5916666666667;63,0083333333333;4863789,75;4534563,66666667;329226,083333333;6,78333333333333
"Georgia-2009";65,65;58,8333333333333;4793190,16666667;4294292,41666667;498897,75;10,4083333333333
"Georgia-2010";64,3;57,4583333333333;4708977,33333333;4207438,75;501538,583333333;10,6583333333333
"Georgia-2011";64,2;57,6833333333333;4739137,66666667;4258201,75;480935,916666667;10,1583333333333
"Georgia-2012";63,8166666666667;58,0583333333333;4771806,16666667;4340082,41666667;431723,75;9,04166666666667
"Georgia-2013";62,8583333333333;57,75;4751345,5;4364851,83333333;386493,666666667;8,14166666666667
"Georgia-2014";62,025;57,5916666666667;4745980,91666667;4406892,16666667;339088,75;7,14166666666667
"Georgia-2015";60,9916666666667;57,3083333333333;4734596,58333333;4447352,5;287244,083333333;6,075
"Georgia-2016";62,4166666666667;58,9916666666667;4921740,41666667;4653212,25;268528,166666667;5,46666666666667
"Hawaii-1990";68,0416666666667;66,2583333333333;550525,083333333;536187,666666667;14337,4166666667;2,6
"Hawaii-1991";68,35;66,4333333333333;564949,833333333;549151,083333333;15798,75;2,79166666666667
"Hawaii-1992";68,6666666666667;65,8166666666667;576816,166666667;552928,416666667;23887,75;4,14166666666667
"Hawaii-1993";68,4666666666667;65,4666666666667;582391,333333333;556851,583333333;25539,75;4,38333333333333
"Hawaii-1994";67,8333333333333;64,325;583055,083333333;552873,833333333;30181,25;5,175
"Hawaii-1995";67,4916666666667;63,7583333333333;585549,833333333;553232,833333333;32317;5,525
"Hawaii-1996";67,8166666666667;63,7833333333333;594833,5;559658,416666667;35175,0833333333;5,91666666666667
"Hawaii-1997";67,725;63,6916666666667;601736,75;565992,833333333;35743,9166666667;5,925
"Hawaii-1998";67,2666666666667;63,3583333333333;602631,25;567535,833333333;35095,4166666667;5,825
"Hawaii-1999";67,0916666666667;63,6166666666667;603781,916666667;572417,833333333;31364,0833333333;5,19166666666667
"Hawaii-2000";67,2333333333333;64,3666666666667;605435,833333333;579750,083333333;25685,75;4,25
"Hawaii-2001";66,9583333333333;64,0833333333333;607292,166666667;581284,333333333;26007,8333333333;4,275
"Hawaii-2002";65,8166666666667;63,1583333333333;602106,833333333;577782,333333333;24324,5;4,05
"Hawaii-2003";65,4333333333333;62,8666666666667;603685,333333333;580123,583333333;23561,75;3,90833333333333
"Hawaii-2004";64,975;62,8333333333333;611685,5;591523,333333333;20162,1666666667;3,29166666666667
"Hawaii-2005";65,7666666666667;63,8916666666667;625570,416666667;607928,5;17641,9166666667;2,825
"Hawaii-2006";66,15;64,45;635405;619205,166666667;16199,8333333333;2,55
"Hawaii-2007";65,7583333333333;63,9666666666667;636854,333333333;619494,916666667;17359,4166666667;2,725
"Hawaii-2008";65,7833333333333;63,1166666666667;641469,75;615545,583333333;25924,1666666667;4,03333333333333
"Hawaii-2009";64,3916666666667;60,1166666666667;632234,583333333;590107,916666667;42126,6666666667;6,65833333333333
"Hawaii-2010";62,9666666666667;58,6583333333333;648396,166666667;604129,416666667;44266,75;6,825
"Hawaii-2011";62,5666666666667;58,275;660465;615329,333333333;45135,6666666667;6,83333333333333
"Hawaii-2012";61,05;57,4416666666667;650519,833333333;612043,25;38476,5833333333;5,9
"Hawaii-2013";60,6166666666667;57,7333333333333;651144,083333333;620202,583333333;30941,5;4,75833333333333
"Hawaii-2014";61,4833333333333;58,8666666666667;664112,5;635967,333333333;28145,1666666667;4,23333333333333
"Hawaii-2015";61,7166666666667;59,6083333333333;670625,25;647695,583333333;22929,6666666667;3,41666666666667
"Hawaii-2016";62,1166666666667;60,3166666666667;679237;659616,666666667;19620,3333333333;2,89166666666667
"Idaho-1990";67,7916666666667;63,9666666666667;493986,333333333;466186,166666667;27800,1666666667;5,625
"Idaho-1991";67,7916666666667;63,4916666666667;509714,833333333;477413,666666667;32301,1666666667;6,34166666666667
"Idaho-1992";68,3333333333333;63,8583333333333;529631,666666667;495061,416666667;34570,25;6,51666666666667
"Idaho-1993";68,6833333333333;64,5083333333333;551559,25;518015,333333333;33543,9166666667;6,075
"Idaho-1994";70,7166666666667;66,8333333333333;587289,166666667;555055;32234,1666666667;5,5
"Idaho-1995";70,275;66,4083333333333;602099,083333333;568963,75;33135,3333333333;5,5
"Idaho-1996";70,1916666666667;66,4;617074;583652,333333333;33421,6666666667;5,425
"Idaho-1997";70,3916666666667;66,7166666666667;632870,333333333;599807,5;33062,8333333333;5,21666666666667
"Idaho-1998";71,0333333333333;67,3166666666667;651144,166666667;617121,75;34022,4166666667;5,23333333333333
"Idaho-1999";70,05;66,55;654160;621344,833333333;32815,1666666667;5,00833333333333
"Idaho-2000";69,5166666666667;66,2583333333333;661091,333333333;630334,583333333;30756,75;4,65833333333333
"Idaho-2001";69,9666666666667;66,4083333333333;678189,333333333;643739,916666667;34449,4166666667;5,08333333333333
"Idaho-2002";69,3916666666667;65,5;685790,25;647284,083333333;38506,1666666667;5,61666666666667
"Idaho-2003";68,6833333333333;64,8666666666667;691547,083333333;653077;38470,0833333333;5,56666666666667
"Idaho-2004";68,3416666666667;65,0333333333333;702929,083333333;668768,5;34160,5833333333;4,86666666666667
"Idaho-2005";69,1666666666667;66,4;730461,916666667;701274,333333333;29187,5833333333;3,99166666666667
"Idaho-2006";68,5083333333333;66,175;744251,166666667;718733,583333333;25517,5833333333;3,425
"Idaho-2007";67,8833333333333;65,8166666666667;755174,166666667;732250,166666667;22924;3,025
"Idaho-2008";67,0083333333333;63,6333333333333;760052,333333333;721731,75;38320,5833333333;5,03333333333333
"Idaho-2009";66,4083333333333;60,6166666666667;763609,916666667;697003,916666667;66606;8,70833333333333
"Idaho-2010";65,4083333333333;59,6833333333333;762158,666666667;695375,583333333;66783,0833333333;8,75833333333333
"Idaho-2011";64,8;59,5083333333333;764066,916666667;701595,75;62471,1666666667;8,16666666666667
"Idaho-2012";64,7083333333333;59,9083333333333;772073,333333333;715011,583333333;57061,75;7,4
"Idaho-2013";64,35;59,9666666666667;777682,75;724710,75;52972;6,81666666666667
"Idaho-2014";63,3583333333333;60,575;777061,5;742988,166666667;34073,3333333333;4,38333333333333
"Idaho-2015";63,7833333333333;61,3;794897,333333333;764106,833333333;30790,5;3,86666666666667
"Idaho-2016";63,8083333333333;61,4583333333333;813091,166666667;783240,5;29850,6666666667;3,675
"Illinois-1990";68,2166666666667;63,9416666666667;5929803,25;5556300,66666667;373502,583333333;6,3
"Illinois-1991";67,6583333333333;62,7166666666667;5932297,91666667;5499779,16666667;432518,75;7,28333333333333
"Illinois-1992";68,15;62,7666666666667;6026608;5551803;474805;7,86666666666667
"Illinois-1993";68,0833333333333;62,9833333333333;6079377,16666667;5623816,25;455560,916666667;7,49166666666667
"Illinois-1994";68;64,05;6112689,66666667;5757824,83333333;354864,833333333;5,8
"Illinois-1995";68,2833333333333;64,725;6172838,58333333;5851850,33333333;320988,25;5,2
"Illinois-1996";68,5916666666667;64,975;6243269,16666667;5912996,75;330272,416666667;5,28333333333333
"Illinois-1997";68,7416666666667;65,4333333333333;6296696,91666667;5995341,41666667;301355,5;4,775
"Illinois-1998";68,7;65,6333333333333;6340232,91666667;6057452;282780,916666667;4,45
"Illinois-1999";69,525;66,4583333333333;6464407,33333333;6178996,25;285411,083333333;4,40833333333333
"Illinois-2000";69,4833333333333;66,3833333333333;6494611,16666667;6205782;288829,166666667;4,44166666666667
"Illinois-2001";68,575;64,8583333333333;6453112,08333333;6102427,75;350684,333333333;5,43333333333333
"Illinois-2002";67,0083333333333;62,6083333333333;6342373,25;5926615,08333333;415758,166666667;6,55
"Illinois-2003";66,3166666666667;61,85;6310163,25;5884760,66666667;425402,583333333;6,725
"Illinois-2004";66,3916666666667;62,2916666666667;6347363,58333333;5955133,08333333;392230,5;6,175
"Illinois-2005";66,7;62,8916666666667;6410714,58333333;6044703,75;366010,833333333;5,71666666666667
"Illinois-2006";67,3333333333333;64,2416666666667;6515260,75;6215799;299461,75;4,6
"Illinois-2007";68,1416666666667;64,6916666666667;6640318,08333333;6303551,41666667;336766,666666667;5,06666666666667
"Illinois-2008";67,8083333333333;63,4166666666667;6653467,16666667;6220960,58333333;432506,583333333;6,50833333333333
"Illinois-2009";66,8583333333333;60,0583333333333;6603766;5930942,58333333;672823,416666667;10,1833333333333
"Illinois-2010";66,7416666666667;59,725;6609172,58333333;5916963,66666667;692208,916666667;10,4666666666667
"Illinois-2011";66,0166666666667;59,575;6568428,41666667;5927033,91666667;641394,5;9,75833333333333
"Illinois-2012";65,8833333333333;59,925;6584903,91666667;5988960,66666667;595943,25;9,05
"Illinois-2013";65,4;59,4666666666667;6558246,58333333;5963896,08333333;594350,5;9,075
"Illinois-2014";64,8333333333333;60,175;6515400,5;6047928;467472,5;7,16666666666667
"Illinois-2015";64,7916666666667;60,9;6512987,08333333;6121667,16666667;391319,916666667;5,99166666666667
"Illinois-2016";65,2916666666667;61,4333333333333;6558589,41666667;6172216,75;386372,666666667;5,88333333333333
"Indiana-1990";67,2;63,7583333333333;2809785,08333333;2666720,08333333;143065;5,10833333333333
"Indiana-1991";66,0333333333333;62,2833333333333;2801824,41666667;2642230,66666667;159593,75;5,7
"Indiana-1992";66,675;62,6;2859774,5;2685745,33333333;174029,166666667;6,09166666666667
"Indiana-1993";67,9083333333333;64,4583333333333;2949977,58333333;2799232,16666667;150745,416666667;5,11666666666667
"Indiana-1994";69,6083333333333;66,375;3052972,75;2910631,33333333;142341,416666667;4,65833333333333
"Indiana-1995";70,4583333333333;67,35;3122482,5;2983876;138606,5;4,43333333333333
"Indiana-1996";69,2166666666667;66,5;3100151,33333333;2977310;122841,333333333;3,96666666666667
"Indiana-1997";69,1416666666667;66,7916666666667;3118675,5;3012259,91666667;106415,583333333;3,41666666666667
"Indiana-1998";68,7666666666667;66,7083333333333;3121512,58333333;3027751,33333333;93761,25;3,00833333333333
"Indiana-1999";68,3416666666667;66,3333333333333;3122541,5;3030463,75;92077,75;2,95
"Indiana-2000";67,9416666666667;65,8833333333333;3126253,91666667;3030937;95316,9166666667;3,05
"Indiana-2001";67,8833333333333;65,025;3143224,16666667;3010259,75;132964,416666667;4,24166666666667
"Indiana-2002";67,9166666666667;64,3916666666667;3162310,08333333;2998596,16666667;163713,916666667;5,19166666666667
"Indiana-2003";67,7833333333333;64,2166666666667;3177829,5;3010517,58333333;167311,916666667;5,275
"Indiana-2004";67,1083333333333;63,475;3164744,91666667;2993457,75;171287,166666667;5,4
"Indiana-2005";67,375;63,75;3202414,83333333;3030019,08333333;172395,75;5,39166666666667
"Indiana-2006";67,4666666666667;64,0916666666667;3235491,16666667;3074291,25;161199,916666667;5
"Indiana-2007";66,25;63,1666666666667;3203147,08333333;3055176,66666667;147970,416666667;4,625
"Indiana-2008";66,6;62,6333333333333;3245683,83333333;3052751,5;192932,333333333;5,94166666666667
"Indiana-2009";65,55;58,725;3216883,91666667;2881483,41666667;335400,5;10,4333333333333
"Indiana-2010";64;57,5333333333333;3175507;2855540,41666667;319966,583333333;10,0833333333333
"Indiana-2011";63,7333333333333;58,0416666666667;3188446,91666667;2904335,91666667;284111;8,90833333333333
"Indiana-2012";63,05;57,8583333333333;3173141,16666667;2912230,33333333;260910,833333333;8,225
"Indiana-2013";63,0583333333333;58,3166666666667;3192664,75;2953456,58333333;239208,166666667;7,5
"Indiana-2014";63,3916666666667;59,6333333333333;3229212,75;3037398;191814,75;5,95
"Indiana-2015";63,8416666666667;60,775;3266934,83333333;3110406,5;156528,333333333;4,78333333333333
"Indiana-2016";64,7333333333333;61,8916666666667;3332067,91666667;3186478,83333333;145589,083333333;4,36666666666667
"Iowa-1990";69,6166666666667;66,4916666666667;1453632,66666667;1389010,58333333;64622,0833333333;4,44166666666667
"Iowa-1991";69,9083333333333;66,6416666666667;1471258,41666667;1402228,33333333;69030,0833333333;4,69166666666667
"Iowa-1992";71,7833333333333;68,5583333333333;1525113,41666667;1456746,5;68366,9166666667;4,48333333333333
"Iowa-1993";72,6083333333333;69,6;1555878,5;1491548,25;64330,25;4,14166666666667
"Iowa-1994";72,9416666666667;70,325;1575207,08333333;1518461,08333333;56746;3,6
"Iowa-1995";72,9583333333333;70,3916666666667;1588673,83333333;1532814,75;55859,0833333333;3,50833333333333
"Iowa-1996";73,4166666666667;70,7833333333333;1609770,91666667;1551941;57829,9166666667;3,58333333333333
"Iowa-1997";72,6333333333333;70,3583333333333;1600579,58333333;1550348,58333333;50231;3,14166666666667
"Iowa-1998";72,0166666666667;69,975;1594119,33333333;1548838,91666667;45280,4166666667;2,84166666666667
"Iowa-1999";71,6583333333333;69,7416666666667;1593882,75;1551329,16666667;42553,5833333333;2,65833333333333
"Iowa-2000";71,4166666666667;69,4916666666667;1594528,16666667;1551603,83333333;42924,3333333333;2,68333333333333
"Iowa-2001";71,8833333333333;69,5083333333333;1610626,41666667;1556990;53636,4166666667;3,325
"Iowa-2002";72,5083333333333;69,6083333333333;1628820,16666667;1563947,91666667;64872,25;4
"Iowa-2003";71,35;68,175;1607724,75;1536370,91666667;71353,8333333333;4,45
"Iowa-2004";71,0083333333333;67,8083333333333;1607085,25;1534377,66666667;72707,5833333333;4,525
"Iowa-2005";71,575;68,5083333333333;1628542,16666667;1558852,75;69689,4166666667;4,29166666666667
"Iowa-2006";72,2583333333333;69,6166666666667;1655780,08333333;1594802,91666667;60977,1666666667;3,7
"Iowa-2007";72,0833333333333;69,425;1662355,5;1600787,58333333;61567,9166666667;3,71666666666667
"Iowa-2008";72,5416666666667;69,4916666666667;1682569,83333333;1612084,83333333;70485;4,18333333333333
"Iowa-2009";71,8833333333333;67,2833333333333;1677280,5;1570157,91666667;107122,583333333;6,4
"Iowa-2010";71;66,65;1674190,66666667;1571900,5;102290,166666667;6,11666666666667
"Iowa-2011";70,3;66,3333333333333;1670116,33333333;1575940,75;94175,5833333333;5,65
"Iowa-2012";69,4916666666667;65,95;1660358,33333333;1576257,25;84101,0833333333;5,05833333333333
"Iowa-2013";69,725;66,425;1676882,25;1597567,41666667;79314,8333333333;4,725
"Iowa-2014";70,2083333333333;67,225;1699027,75;1627046,83333333;71980,9166666667;4,225
"Iowa-2015";69,9333333333333;67,35;1700631,41666667;1637625,08333333;63006,3333333333;3,69166666666667
"Iowa-2016";69,7166666666667;67,2333333333333;1703087,58333333;1641910,58333333;61177;3,575
"Kansas-1990";69,775;66,8083333333333;1272618,5;1218330,58333333;54287,9166666667;4,25
"Kansas-1991";70,1;66,9666666666667;1285621,08333333;1228363,58333333;57257,5;4,45
"Kansas-1992";70,5333333333333;67,3166666666667;1310337,41666667;1250515,41666667;59822;4,56666666666667
"Kansas-1993";70,675;67,175;1328630,83333333;1262895,5;65735,3333333333;4,94166666666667
"Kansas-1994";70,8666666666667;67,5;1346083,66666667;1281761,41666667;64322,25;4,78333333333333
"Kansas-1995";70,5;67,4416666666667;1354093,16666667;1295213,83333333;58879,3333333333;4,35833333333333
"Kansas-1996";70,5;67,5;1367875,16666667;1309756,25;58118,9166666667;4,25
"Kansas-1997";70,575;67,9083333333333;1381015,33333333;1328650,33333333;52365;3,79166666666667
"Kansas-1998";70,875;68,2583333333333;1399378,66666667;1347844,08333333;51534,5833333333;3,675
"Kansas-1999";70,725;68,25;1406817,16666667;1357635,5;49181,6666666667;3,48333333333333
"Kansas-2000";70,1083333333333;67,4583333333333;1402944;1349898,41666667;53045,5833333333;3,775
"Kansas-2001";69,425;66,4666666666667;1398345,16666667;1338610,16666667;59735;4,26666666666667
"Kansas-2002";69,9666666666667;66,4333333333333;1419472,75;1347469,33333333;72003,4166666667;5,08333333333333
"Kansas-2003";70,5833333333333;66,675;1440784,08333333;1360895,75;79888,3333333333;5,55
"Kansas-2004";71,0916666666667;67,175;1458720,16666667;1378209,83333333;80510,3333333333;5,50833333333333
"Kansas-2005";70,55;66,975;1458359,25;1384460,66666667;73898,5833333333;5,06666666666667
"Kansas-2006";70,575;67,4333333333333;1467694,41666667;1402924,25;64770,1666666667;4,425
"Kansas-2007";70,8583333333333;67,8416666666667;1485363,66666667;1422267,08333333;63096,5833333333;4,23333333333333
"Kansas-2008";70,7666666666667;67,5;1493765,5;1424872,5;68893;4,60833333333333
"Kansas-2009";71,0833333333333;66,1916666666667;1512963,5;1408582,91666667;104380,583333333;6,89166666666667
"Kansas-2010";69,825;64,9833333333333;1500469,58333333;1396262,66666667;104206,916666667;6,93333333333333
"Kansas-2011";69,2833333333333;64,8583333333333;1497807;1402091;95716;6,38333333333333
"Kansas-2012";68,575;64,6583333333333;1490938,33333333;1405657,41666667;85280,9166666667;5,71666666666667
"Kansas-2013";68,225;64,6166666666667;1489830,41666667;1410945,58333333;78884,8333333333;5,3
"Kansas-2014";68,0916666666667;65,025;1494142,66666667;1426810,41666667;67332,25;4,50833333333333
"Kansas-2015";67,7666666666667;64,9583333333333;1493864,41666667;1431795,25;62069,1666666667;4,15
"Kansas-2016";67,375;64,6666666666667;1491806,58333333;1431732,75;60073,8333333333;4,01666666666667
"Kentucky-1990";62,6833333333333;58,8916666666667;1754345,08333333;1648289,66666667;106055,416666667;6,04166666666667
"Kentucky-1991";62,2583333333333;57,6916666666667;1760313,91666667;1631374,16666667;128939,75;7,31666666666667
"Kentucky-1992";62,225;57,9333333333333;1777316;1654949,83333333;122366,166666667;6,89166666666667
"Kentucky-1993";62,2;58,3333333333333;1800427,83333333;1688840,75;111587,083333333;6,19166666666667
"Kentucky-1994";62,5166666666667;59,175;1828259,58333333;1730309,58333333;97950;5,35
"Kentucky-1995";62,7916666666667;59,4083333333333;1856887,58333333;1756729,91666667;100157,666666667;5,4
"Kentucky-1996";62,7333333333333;59,3333333333333;1873463,33333333;1772118,41666667;101344,916666667;5,38333333333333
"Kentucky-1997";63,5583333333333;60,25;1910618,08333333;1811229,25;99388,8333333333;5,225
"Kentucky-1998";63,4;60,5333333333333;1923636,5;1836923,41666667;86713,0833333333;4,50833333333333
"Kentucky-1999";63,5916666666667;60,75;1947423,83333333;1860024,5;87399,3333333333;4,49166666666667
"Kentucky-2000";63,4166666666667;60,7833333333333;1957631,66666667;1876384,66666667;81247;4,14166666666667
"Kentucky-2001";62,8666666666667;59,625;1953221,41666667;1851577,58333333;101643,833333333;5,20833333333333
"Kentucky-2002";62,15;58,5583333333333;1945028,66666667;1832434,75;112593,916666667;5,79166666666667
"Kentucky-2003";62,2666666666667;58,4333333333333;1965518,25;1843910,16666667;121608,083333333;6,19166666666667
"Kentucky-2004";62,025;58,6083333333333;1970014,33333333;1861669,75;108344,583333333;5,5
"Kentucky-2005";62,0916666666667;58,4583333333333;1991368,33333333;1874755,16666667;116613,166666667;5,875
"Kentucky-2006";62,4333333333333;58,8416666666667;2026300;1910099,83333333;116200,166666667;5,725
"Kentucky-2007";62,15;58,8166666666667;2035511,83333333;1926147,75;109364,083333333;5,36666666666667
"Kentucky-2008";61,65;57,625;2038822,16666667;1905795,16666667;133027;6,525
"Kentucky-2009";62,0416666666667;55,3666666666667;2065194,58333333;1842690,33333333;222504,25;10,7666666666667
"Kentucky-2010";61,6166666666667;55,3;2064406,66666667;1852447,91666667;211958,75;10,2666666666667
"Kentucky-2011";61,1416666666667;55,4083333333333;2061205,66666667;1868146,16666667;193059,5;9,375
"Kentucky-2012";60,7833333333333;55,7916666666667;2060292;1891236,58333333;169055,416666667;8,2
"Kentucky-2013";60,2916666666667;55,5083333333333;2056652,08333333;1893497,08333333;163155;7,91666666666667
"Kentucky-2014";58,5333333333333;54,775;2006478,83333333;1877629,91666667;128848,916666667;6,41666666666667
"Kentucky-2015";57,4833333333333;54,4916666666667;1979616,66666667;1876193,83333333;103422,833333333;5,23333333333333
"Kentucky-2016";58,2583333333333;55,3166666666667;2015973,5;1914499,5;101474;5,03333333333333
"Louisiana-1990";60,7416666666667;56,9583333333333;1866775,33333333;1750296,83333333;116478,5;6,23333333333333
"Louisiana-1991";61,5166666666667;57,0583333333333;1905305,83333333;1767260,91666667;138044,916666667;7,24166666666667
"Louisiana-1992";61,6916666666667;56,8583333333333;1924339,41666667;1773591,25;150748,166666667;7,83333333333333
"Louisiana-1993";60,7666666666667;56,2333333333333;1909737,08333333;1767305,41666667;142431,666666667;7,45833333333333
"Louisiana-1994";61,6166666666667;56,9166666666667;1951491,75;1802400,41666667;149091,333333333;7,65
"Louisiana-1995";61,5166666666667;57,3083333333333;1963958,08333333;1829243,25;134714,833333333;6,86666666666667
"Louisiana-1996";61,7833333333333;57,8;1988915,58333333;1860603,16666667;128312,416666667;6,45833333333333
"Louisiana-1997";61,875;58,2416666666667;2007709,25;1889463,33333333;118245,916666667;5,88333333333333
"Louisiana-1998";62,225;58,7666666666667;2030200,16666667;1917867,25;112332,916666667;5,51666666666667
"Louisiana-1999";61,7583333333333;58,675;2025961,33333333;1925176,5;100784,833333333;4,975
"Louisiana-2000";61,6;58,4333333333333;2026577,16666667;1922256,41666667;104320,75;5,15
"Louisiana-2001";61,4583333333333;58,0416666666667;2026342,5;1912999,91666667;113342,583333333;5,6
"Louisiana-2002";60,875;57,2166666666667;2014526,66666667;1893792,75;120733,916666667;5,99166666666667
"Louisiana-2003";60,8666666666667;57,05;2024411,83333333;1897125,66666667;127286,166666667;6,28333333333333
"Louisiana-2004";60,75;57,3;2029872,91666667;1914214,16666667;115658,75;5,7
"Louisiana-2005";63,2333333333333;58,6916666666667;2077941,33333333;1930058,33333333;147883;7,05833333333333
"Louisiana-2006";62,5916666666667;60,0083333333333;2001406,08333333;1918914,91666667;82491,1666666667;4,13333333333333
"Louisiana-2007";61,625;59,0916666666667;2026434,41666667;1943292,91666667;83141,5;4,09166666666667
"Louisiana-2008";61,5916666666667;58,7333333333333;2064997,5;1968672,66666667;96324,8333333333;4,66666666666667
"Louisiana-2009";61,0416666666667;56,875;2068387,66666667;1927651,25;140736,416666667;6,79166666666667
"Louisiana-2010";60,6583333333333;56,0916666666667;2084849,58333333;1928123,58333333;156726;7,51666666666667
"Louisiana-2011";59,8083333333333;55,375;2080086,58333333;1925604,41666667;154482,166666667;7,43333333333333
"Louisiana-2012";59,6833333333333;55,625;2090238,58333333;1948835,33333333;141403,25;6,76666666666667
"Louisiana-2013";59,6083333333333;55,8;2101861,66666667;1967289,16666667;134572,5;6,41666666666667
"Louisiana-2014";60,375;56,6;2141396,66666667;2007559,66666667;133837;6,25
"Louisiana-2015";60,2833333333333;56,4833333333333;2150738,58333333;2015528,33333333;135210,25;6,29166666666667
"Louisiana-2016";59,2666666666667;55,6583333333333;2123908,75;1994883,75;129025;6,06666666666667
"Maine-1990";67,2916666666667;63,675;632166,416666667;598248,916666667;33917,5;5,35833333333333
"Maine-1991";67,8416666666667;62,5666666666667;640463,583333333;590576,916666667;49886,6666666667;7,78333333333333
"Maine-1992";67,8;62,825;641027,583333333;593994,25;47033,3333333333;7,33333333333333
"Maine-1993";66,4416666666667;61,9166666666667;630447,5;587503,916666667;42943,5833333333;6,81666666666667
"Maine-1994";65,85;61,5333333333333;626890,666666667;585714,083333333;41176,5833333333;6,56666666666667
"Maine-1995";66,8833333333333;62,9583333333333;639225,333333333;601703,166666667;37522,1666666667;5,875
"Maine-1996";67,9666666666667;64,3583333333333;654387,916666667;619557,666666667;34830,25;5,325
"Maine-1997";67,8083333333333;64,3;658173,666666667;624012,833333333;34160,8333333333;5,19166666666667
"Maine-1998";67,1666666666667;64,175;655515,916666667;626270,916666667;29245;4,45833333333333
"Maine-1999";67,9833333333333;65,2833333333333;669180,416666667;642407,25;26773,1666666667;4,00833333333333
"Maine-2000";68,1333333333333;65,875;677436,666666667;654913,333333333;22523,3333333333;3,33333333333333
"Maine-2001";67,175;64,6416666666667;674865,166666667;649548,666666667;25316,5;3,75
"Maine-2002";66,825;63,8166666666667;678708,416666667;648417,333333333;30291,0833333333;4,45833333333333
"Maine-2003";66,7166666666667;63,2833333333333;684990,75;649742,25;35248,5;5,15
"Maine-2004";66,2333333333333;63,15;685844,833333333;653933,583333333;31911,25;4,65833333333333
"Maine-2005";66,6583333333333;63,375;695227,666666667;661175,75;34051,9166666667;4,89166666666667
"Maine-2006";66,7166666666667;63,55;700844,75;667788,583333333;33056,1666666667;4,71666666666667
"Maine-2007";66,2083333333333;63,125;699838,166666667;667097,583333333;32740,5833333333;4,69166666666667
"Maine-2008";66,075;62,5333333333333;702126,833333333;664314,916666667;37811,9166666667;5,4
"Maine-2009";65,5166666666667;60,0166666666667;697785,666666667;639273,75;58511,9166666667;8,39166666666667
"Maine-2010";65,025;59,5583333333333;697749,583333333;639057,916666667;58691,6666666667;8,41666666666667
"Maine-2011";64,7583333333333;59,7416666666667;698901,333333333;644884,833333333;54016,5;7,725
"Maine-2012";64,7416666666667;60,075;700834,5;650424,666666667;50409,8333333333;7,19166666666667
"Maine-2013";64,9;60,575;704333;657259,25;47073,75;6,68333333333333
"Maine-2014";64,0833333333333;60,5083333333333;698028,5;659099;38929,5;5,55833333333333
"Maine-2015";63,0416666666667;60,2583333333333;687900,916666667;657691,416666667;30209,5;4,38333333333333
"Maine-2016";63,3916666666667;60,9916666666667;693937,833333333;667738,333333333;26199,5;3,775
"Maryland-1990";69,75;66,7333333333333;2574086,41666667;2462725,66666667;111360,75;4,325
"Maryland-1991";70,35;66,1666666666667;2616180,5;2460539,75;155640,75;5,94166666666667
"Maryland-1992";70,9333333333333;66,2916666666667;2654918,66666667;2481562,08333333;173356,583333333;6,53333333333333
"Maryland-1993";70,675;66,4333333333333;2661672,83333333;2502360;159312,833333333;5,99166666666667
"Maryland-1994";70,875;67,1666666666667;2688909,08333333;2548887,16666667;140021,916666667;5,2
"Maryland-1995";70,9916666666667;67,4416666666667;2713365,5;2578152,91666667;135212,583333333;4,98333333333333
"Maryland-1996";71,2166666666667;67,7083333333333;2748690,25;2613078,41666667;135611,833333333;4,93333333333333
"Maryland-1997";71,2666666666667;67,8333333333333;2771517,75;2638530,91666667;132986,833333333;4,80833333333333
"Maryland-1998";70,5083333333333;67,5;2763437,58333333;2646114,5;117323,083333333;4,24166666666667
"Maryland-1999";70,075;67,65;2770467,91666667;2674823,08333333;95644,8333333333;3,45833333333333
"Maryland-2000";70,1416666666667;67,6666666666667;2801499,83333333;2702613,25;98886,5833333333;3,51666666666667
"Maryland-2001";70,025;67,0916666666667;2836137;2717226,41666667;118910,583333333;4,20833333333333
"Maryland-2002";69,9416666666667;66,6166666666667;2872825,41666667;2735451,5;137373,916666667;4,775
"Maryland-2003";69,2833333333333;65,9583333333333;2880283,25;2742247,83333333;138035,416666667;4,8
"Maryland-2004";68,575;65,3916666666667;2884578,91666667;2751687,66666667;132891,25;4,61666666666667
"Maryland-2005";68,9166666666667;65,8333333333333;2931630,75;2800381,41666667;131249,333333333;4,475
"Maryland-2006";69,4916666666667;66,5833333333333;2984216,08333333;2859388,33333333;124827,75;4,175
"Maryland-2007";69,1166666666667;66,5416666666667;2989779,91666667;2878633,16666667;111146,75;3,73333333333333
