"...1";"State";"Year.x";"labor force participation rate";"employment-population ratio";"labor force";"employment";"unemployment";"unemployment rate";"n";"Id";"population";"Deaths";"crude_rate";"TOTAL FILINGS";"Post";"TreatPost";"Treat";"NonTreat";"Year.y";"AREA";"DATA TYPE";"TOTAL";"500+";"PercW";"FIPS";"IncidenceRate";"BankrupcyP100k";"TimingCntrl";"Delta";"Abr";"Pairty Law Passed";"Mandated offering laws";"Minimum Mandated Benefit";"Mandated if Offered";"No Law";"AccesstoParity";"NonPairtyLaw";"Pre_Post_Parity";"lcruderate";"Expr";"Expr_No-TreatPost-Period";"Expr_No-TreatPre-Period";"Expr_Treated-Post-Period";"Expr_Treated-Pre-Period";"D_ParityLawPassed";"D_Mandatedofferinglaws";"D_MinimumMandatedBenefit";"D_MandatedifOffered";"D_NoLaw";"D_AccessToParity";"D_NonParityLaw";"lDelta"
"212";380;"Indiana";1991;66.0333333333333;62.2833333333333;2801824.41666667;2642230.66666667;159593.75;5.7;32;"Indiana_1991";5619615;703;12.51;28014;0;0;0;1;1991;"Indiana";"Employment";2129157;1007283;0.47309005395093;18;0.00498503901067956;498.503901067956;2.57451880847769;-0.615;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.52652832447882;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0479904839988676
"213";381;"Indiana";1992;66.675;62.6;2859774.5;2685745.33333333;174029.166666667;6.09166666666667;32;"Indiana_1992";5675757;695;12.245;27313;0;0;0;1;1992;"Indiana";"Employment";2183437;1038230;0.475502613540029;18;0.00481222152393064;481.222152393064;2.52652832447882;-0.265000000000001;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.50511769040413;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0214106340746887
"214";382;"Indiana";1993;67.9083333333333;64.4583333333333;2949977.58333333;2799232.16666667;150745.416666667;5.11666666666667;32;"Indiana_1993";5741125;731;12.733;23114;0;0;0;1;1993;"Indiana";"Employment";2258311;1076983;0.476897557510901;18;0.00402604019247099;402.604019247099;2.50511769040413;0.488000000000001;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.5441970485913;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0390793581871676
"215";383;"Indiana";1994;69.6083333333333;66.375;3052972.75;2910631.33333333;142341.416666667;4.65833333333333;32;"Indiana_1994";5794799;718;12.39;21738;0;0;0;1;1994;"Indiana";"Employment";2315038;1126199;0.486471064405854;18;0.00375129491117811;375.129491117811;2.5441970485913;-0.343;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.51688969564105;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0273073529502477
"216";384;"Indiana";1995;70.4583333333333;67.35;3122482.5;2983876;138606.5;4.43333333333333;32;"Indiana_1995";5852819;698;11.926;23523;0;0;0;1;1995;"Indiana";"Employment";2402917;1160814;0.48308535001417;18;0.0040190889210823;401.90889210823;2.51688969564105;-0.464;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.47872089070091;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.038168804940137
"217";385;"Indiana";1996;69.2166666666667;66.5;3100151.33333333;2977310;122841.333333333;3.96666666666667;32;"Indiana_1996";5908417;738;12.491;29891;0;0;0;1;1996;"Indiana";"Employment";2433107;1189952;0.489066859780519;18;0.00505905388871503;505.905388871503;2.47872089070091;0.565;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.52500838498377;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0462874942828582
"218";386;"Indiana";1997;69.1416666666667;66.7916666666667;3118675.5;3012259.91666667;106415.583333333;3.41666666666667;32;"Indiana_1997";5956292;729;12.239;21738;0;0;0;1;1997;"Indiana";"Employment";2487609;1231363;0.494998611116136;18;0.00364958601760961;364.958601760961;2.52500838498377;-0.251999999999999;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.5046275744002;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0203808105835708
"219";387;"Indiana";1998;68.7666666666667;66.7083333333333;3121512.58333333;3027751.33333333;93761.25;3.00833333333333;32;"Indiana_1998";6001025;699;11.648;39261;1;0;0;1;1998;"Indiana";"Employment";2540866;1283741;0.505237584351162;18;0.0065423823430164;654.23823430164;2.5046275744002;-0.591000000000001;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.45513449145433;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.0494930829458711
"220";388;"Indiana";1999;68.3416666666667;66.3333333333333;3122541.5;3030463.75;92077.75;2.95;32;"Indiana_1999";6044969;628;10.389;38242;1;0;0;1;1999;"Indiana";"Employment";2580408;1314147;0.509278765218524;18;0.0063262524588629;632.62524588629;2.45513449145433;-1.259;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.34074755408839;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.114386937365936
"221";389;"Indiana";2000;67.9416666666667;65.8833333333333;3126253.91666667;3030937;95316.9166666667;3.05;32;"Indiana_2000";6080485;682;11.216;37524;1;0;0;1;2000;"Indiana";"Employment";2650774;1357598;0.512151545171335;18;0.00617121824986;617.121824986;2.34074755408839;0.827;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.41734133029223;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0765937762038398
"222";390;"Indiana";2001;67.8833333333333;65.025;3143224.16666667;3010259.75;132964.416666667;4.24166666666667;32;"Indiana_2001";6127760;715;11.668;48066;1;0;0;1;2001;"Indiana";"Employment";2601738;1329795;0.511117952691624;18;0.0078439756126219;784.39756126219;2.41734133029223;0.452;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.45685005200547;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0395087217132404
"223";391;"Indiana";2002;67.9166666666667;64.3916666666667;3162310.08333333;2998596.16666667;163713.916666667;5.19166666666667;32;"Indiana_2002";6155967;743;12.07;53520;1;0;0;1;2002;"Indiana";"Employment";2517180;1263338;0.501886237774017;18;0.00869400372029285;869.400372029285;2.45685005200547;0.402000000000001;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.49072303510944;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0338729831039655
"224";392;"Indiana";2003;67.7833333333333;64.2166666666667;3177829.5;3010517.58333333;167311.916666667;5.275;32;"Indiana_2003";6196638;736;11.877;55795;1;0;0;1;2003;"Indiana";"Employment";2540839;1275847;0.502136105436039;18;0.00900407608125567;900.407608125567;2.49072303510944;-0.193;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.4746037567921;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0161192783173369
"225";393;"Indiana";2004;67.1083333333333;63.475;3164744.91666667;2993457.75;171287.166666667;5.4;32;"Indiana_2004";6233007;703;11.279;54465;1;0;0;1;2004;"Indiana";"Employment";2586799;1296027;0.501015734117726;18;0.00873815800303128;873.815800303128;2.4746037567921;-0.598000000000001;"IN";0;0;0;2000;0;0;2000;"No-Parity";2.42294258965778;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0516611671343234
"226";406;"Iowa";1990;69.6166666666667;66.4916666666667;1453632.66666667;1389010.58333333;64622.0833333333;4.44166666666667;32;"Iowa_1990";2776587;336;12.101;5661;0;0;0;1;1990;"Iowa";"Employment";1007900;436842;0.433417997817244;19;0.00203883400736228;203.883400736228;NA;NA;"IA";0;0;0;0;2004;0;0;"No-Parity";2.49328809381592;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;NA
"227";407;"Iowa";1991;69.9083333333333;66.6416666666667;1471258.41666667;1402228.33333333;69030.0833333333;4.69166666666667;32;"Iowa_1991";2798656;335;11.97;6207;0;0;0;1;1991;"Iowa";"Employment";1019661;436650;0.428230558979896;19;0.00221785028242128;221.785028242128;2.49328809381592;-0.131;"IA";0;0;0;0;2004;0;0;"No-Parity";2.48240351956988;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0108845742460337
"228";408;"Iowa";1992;71.7833333333333;68.5583333333333;1525113.41666667;1456746.5;68366.9166666667;4.48333333333333;32;"Iowa_1992";2819049;287;10.181;6255;0;0;0;1;1992;"Iowa";"Employment";1038570;446796;0.430203067679598;19;0.00221883337253095;221.883337253095;2.48240351956988;-1.789;"IA";0;0;0;0;2004;0;0;"No-Parity";2.32052323812506;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.161880281444823
"229";409;"Iowa";1993;72.6083333333333;69.6;1555878.5;1491548.25;64330.25;4.14166666666667;32;"Iowa_1993";2837695;318;11.206;5411;0;0;0;1;1993;"Iowa";"Employment";1071993;459630;0.428762128110911;19;0.00190682931040862;190.682931040862;2.32052323812506;1.025;"IA";0;0;0;0;2004;0;0;"No-Parity";2.41644934914309;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0959261110180343
"230";410;"Iowa";1994;72.9416666666667;70.325;1575207.08333333;1518461.08333333;56746;3.6;32;"Iowa_1994";2851451;322;11.292;5477;0;0;0;1;1994;"Iowa";"Employment";1089774;474862;0.435743557838598;19;0.00192077647485438;192.077647485438;2.41644934914309;0.0860000000000003;"IA";0;0;0;0;2004;0;0;"No-Parity";2.42409451039124;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.00764516124815007
"231";411;"Iowa";1995;72.9583333333333;70.3916666666667;1588673.83333333;1532814.75;55859.0833333333;3.50833333333333;32;"Iowa_1995";2868091;335;11.68;6594;0;0;0;1;1995;"Iowa";"Employment";1138395;503734;0.442494916088001;19;0.00229909023109797;229.909023109797;2.42409451039124;0.388;"IA";0;0;0;0;2004;0;0;"No-Parity";2.45787797740008;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0337834670088384
"232";412;"Iowa";1996;73.4166666666667;70.7833333333333;1609770.91666667;1551941;57829.9166666667;3.58333333333333;32;"Iowa_1996";2880950;321;11.142;8715;0;0;0;1;1996;"Iowa";"Employment";1163112;523312;0.449923997001149;19;0.00302504382235027;302.504382235027;2.45787797740008;-0.538;"IA";0;0;0;0;2004;0;0;"No-Parity";2.41072175159862;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0471562258014573
"233";413;"Iowa";1997;72.6333333333333;70.3583333333333;1600579.58333333;1550348.58333333;50231;3.14166666666667;32;"Iowa_1997";2891288;345;11.932;5477;0;0;0;1;1997;"Iowa";"Employment";1179660;533297;0.452076869606497;19;0.00189431146257308;189.431146257308;2.41072175159862;0.790000000000001;"IA";0;0;0;0;2004;0;0;"No-Parity";2.4792238666525;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.068502115053878
"234";414;"Iowa";1998;72.0166666666667;69.975;1594119.33333333;1548838.91666667;45280.4166666667;2.84166666666667;32;"Iowa_1998";2903589;329;11.331;9518;1;0;0;1;1998;"Iowa";"Employment";1213285;567089;0.467399662898659;19;0.00327801214290314;327.801214290314;2.4792238666525;-0.601000000000001;"IA";0;0;0;0;2004;0;0;"No-Parity";2.42754233239843;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.0516815342540724
"235";415;"Iowa";1999;71.6583333333333;69.7416666666667;1593882.75;1551329.16666667;42553.5833333333;2.65833333333333;32;"Iowa_1999";2917634;305;10.454;8452;1;0;0;1;1999;"Iowa";"Employment";1239354;586931;0.473578170563051;19;0.00289686780452929;289.686780452929;2.42754233239843;-0.876999999999999;"IA";0;0;0;0;2004;0;0;"No-Parity";2.34698468029073;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.0805576521076992
"236";416;"Iowa";2000;71.4166666666667;69.4916666666667;1594528.16666667;1551603.83333333;42924.3333333333;2.68333333333333;32;"Iowa_2000";2926324;289;9.876;3399;1;0;0;1;2000;"Iowa";"Employment";1265064;597122;0.472009321267541;19;0.00116152551802193;116.152551802193;2.34698468029073;-0.578000000000001;"IA";0;0;0;0;2004;0;0;"No-Parity";2.29010757148293;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.0568771088077975
"237";417;"Iowa";2001;71.8833333333333;69.5083333333333;1610626.41666667;1556990;53636.4166666667;3.325;32;"Iowa_2001";2931997;303;10.334;11076;1;0;0;1;2001;"Iowa";"Employment";1255162;598047;0.476469969613484;19;0.00377763005896664;377.763005896664;2.29010757148293;0.458;"IA";0;0;0;0;2004;0;0;"No-Parity";2.33543942986499;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.0453318583820601
"238";418;"Iowa";2002;72.5083333333333;69.6083333333333;1628820.16666667;1563947.91666667;64872.25;4;32;"Iowa_2002";2934234;314;10.701;11808;1;0;0;1;2002;"Iowa";"Employment";1229609;587324;0.477651025651244;19;0.00402421892732481;402.421892732481;2.33543942986499;0.367000000000001;"IA";0;0;0;0;2004;0;0;"No-Parity";2.37033719504486;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.0348977651798714
"239";419;"Iowa";2003;71.35;68.175;1607724.75;1536370.91666667;71353.8333333333;4.45;32;"Iowa_2003";2941999;352;11.965;12582;1;0;0;1;2003;"Iowa";"Employment";1232865;582938;0.472831980792706;19;0.00427668398255744;427.668398255744;2.37033719504486;1.264;"IA";0;0;0;0;2004;0;0;"No-Parity";2.48198572136034;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.111648526315472
"240";420;"Iowa";2004;71.0083333333333;67.8083333333333;1607085.25;1534377.66666667;72707.5833333333;4.525;32;"Iowa_2004";2953635;343;11.613;13082;1;0;0;1;2004;"Iowa";"Employment";1241864;581485;0.468235652213125;19;0.00442911869611513;442.911869611513;2.48198572136034;-0.352;"IA";0;0;0;0;2004;0;0;"No-Parity";2.45212516026362;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.029860561096716
"241";433;"Kansas";1990;69.775;66.8083333333333;1272618.5;1218330.58333333;54287.9166666667;4.25;32;"Kansas_1990";2477805;297;11.986;8811;0;0;1;1;1990;"Kansas";"Employment";893799;385098;0.43085525940396;20;0.00355596990077912;355.596990077912;NA;NA;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.48373930203599;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;NA
"242";434;"Kansas";1991;70.1;66.9666666666667;1285621.08333333;1228363.58333333;57257.5;4.45;32;"Kansas_1991";2499627;310;12.402;9708;0;0;1;1;1991;"Kansas";"Employment";894515;386512;0.432091133183904;20;0.00388377945989542;388.377945989542;2.48373930203599;0.415999999999999;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.51785774992769;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.0341184478916925
"243";435;"Kansas";1992;70.5333333333333;67.3166666666667;1310337.41666667;1250515.41666667;59822;4.56666666666667;32;"Kansas_1992";2533409;311;12.276;9064;0;0;1;1;1992;"Kansas";"Employment";906466;390292;0.430564411682291;20;0.00357778787396745;357.778787396745;2.51785774992769;-0.125999999999999;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.50764613675749;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0102116131701964
"244";436;"Kansas";1993;70.675;67.175;1328630.83333333;1262895.5;65735.3333333333;4.94166666666667;32;"Kansas_1993";2557596;336;13.137;7976;0;0;1;1;1993;"Kansas";"Employment";927666;396000;0.426877777130993;20;0.00311855351666174;311.855351666174;2.50764613675749;0.861000000000001;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.57543267648737;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.0677865397298816
"245";437;"Kansas";1994;70.8666666666667;67.5;1346083.66666667;1281761.41666667;64322.25;4.78333333333333;32;"Kansas_1994";2581640;292;11.311;7905;0;0;1;1;1994;"Kansas";"Employment";954318;410659;0.430316728805283;20;0.00306200709626439;306.200709626439;2.57543267648737;-1.826;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.42577570354924;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.149656972938127
"246";438;"Kansas";1995;70.5;67.4416666666667;1354093.16666667;1295213.83333333;58879.3333333333;4.35833333333333;32;"Kansas_1995";2602226;291;11.183;9151;0;0;1;1;1995;"Kansas";"Employment";981925;420689;0.428432925121572;20;0.00351660463003598;351.660463003598;2.42577570354924;-0.128;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.41439476804605;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0113809355031926
"247";439;"Kansas";1996;70.5;67.5;1367875.16666667;1309756.25;58118.9166666667;4.25;32;"Kansas_1996";2615563;334;12.77;11312;0;0;1;1;1996;"Kansas";"Employment";1011678;442312;0.437206304772862;20;0.00432488148823026;432.488148823026;2.41439476804605;1.587;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.54709867004445;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.132703901998397
"248";440;"Kansas";1997;70.575;67.9083333333333;1381015.33333333;1328650.33333333;52365;3.79166666666667;32;"Kansas_1997";2636018;320;12.14;7905;0;0;1;1;1997;"Kansas";"Employment";1049359;465587;0.443687050856761;20;0.00299884143431494;299.884143431494;2.54709867004445;-0.629999999999999;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.49650578563135;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0505928844130956
"249";441;"Kansas";1998;70.875;68.2583333333333;1399378.66666667;1347844.08333333;51534.5833333333;3.675;32;"Kansas_1998";2661727;325;12.21;13208;1;1;1;1;1998;"Kansas";"Employment";1081941;495600;0.458065643135809;20;0.00496219184010982;496.219184010982;2.49650578563135;0.0700000000000003;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.50225528812261;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;0.00574950249126083
"250";442;"Kansas";1999;70.725;68.25;1406817.16666667;1357635.5;49181.6666666667;3.48333333333333;32;"Kansas_1999";2678338;299;11.164;11538;1;1;1;1;1999;"Kansas";"Employment";1111884;520874;0.468460738710153;20;0.00430789541872609;430.789541872609;2.50225528812261;-1.046;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.41269431567408;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;-0.0895609724485373
"251";443;"Kansas";2000;70.1083333333333;67.4583333333333;1402944;1349898.41666667;53045.5833333333;3.775;32;"Kansas_2000";2688418;325;12.089;11315;1;1;1;1;2000;"Kansas";"Employment";1128732;524423;0.464612503233717;20;0.00420879491210072;420.879491210072;2.41269431567408;0.925000000000001;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.49229594821986;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;0.0796016325457791
"252";444;"Kansas";2001;69.425;66.4666666666667;1398345.16666667;1338610.16666667;59735;4.26666666666667;32;"Kansas_2001";2702162;292;10.806;13937;1;1;1;1;2001;"Kansas";"Employment";1118898;523017;0.467439391258184;20;0.00515772185383408;515.772185383408;2.49229594821986;-1.283;"KS";2002;0;1998;0;0;2002;1998;"Pre-Pairty";2.38010153542187;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;-0.112194412797981
"253";445;"Kansas";2002;69.9666666666667;66.4333333333333;1419472.75;1347469.33333333;72003.4166666667;5.08333333333333;32;"Kansas_2002";2713535;344;12.677;14969;1;1;1;0;2002;"Kansas";"Employment";1098894;510796;0.464827362784764;20;0.00551642046260689;551.642046260689;2.38010153542187;1.871;"KS";2002;0;1998;0;0;2002;1998;"Post-Parity";2.53978932795659;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;0.159687792534716
"254";446;"Kansas";2003;70.5833333333333;66.675;1440784.08333333;1360895.75;79888.3333333333;5.55;32;"Kansas_2003";2723004;347;12.743;16192;1;1;1;0;2003;"Kansas";"Employment";1109869;512127;0.461430132745396;20;0.00594637393114369;594.637393114369;2.53978932795659;0.0660000000000007;"KS";2002;0;1998;0;0;2002;1998;"Post-Parity";2.54498210123014;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;0.00519277327355239
"255";447;"Kansas";2004;71.0916666666667;67.175;1458720.16666667;1378209.83333333;80510.3333333333;5.50833333333333;32;"Kansas_2004";2734373;370;13.531;16289;1;1;1;0;2004;"Kansas";"Employment";1116277;506474;0.453717132933851;20;0.00595712435721096;595.712435721096;2.54498210123014;0.788;"KS";2002;0;1998;0;0;2002;1998;"Post-Parity";2.60498334928151;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;0.060001248051365
"256";460;"Kentucky";1990;62.6833333333333;58.8916666666667;1754345.08333333;1648289.66666667;106055.416666667;6.04166666666667;32;"Kentucky_1990";3687389;549;14.889;14718;0;0;0;1;1990;"Kentucky";"Employment";1185978;539653;0.455027833568582;21;0.00399144218307317;399.144218307317;NA;NA;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.70062268527341;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;NA
"257";461;"Kentucky";1991;62.2583333333333;57.6916666666667;1760313.91666667;1631374.16666667;128939.75;7.31666666666667;32;"Kentucky_1991";3724483;490;13.156;15545;0;0;0;1;1991;"Kentucky";"Employment";1194898;550101;0.46037486044834;21;0.0041737336430318;417.37336430318;2.70062268527341;-1.733;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.57687792832681;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.123744756946603
"258";462;"Kentucky";1992;62.225;57.9333333333333;1777316;1654949.83333333;122366.166666667;6.89166666666667;32;"Kentucky_1992";3766660;493;13.089;14478;0;0;0;1;1992;"Kentucky";"Employment";1215477;562163;0.462504021055108;21;0.00384372361720994;384.372361720994;2.57687792832681;-0.0670000000000002;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.57177218280958;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.00510574551722831
"259";463;"Kentucky";1993;62.2;58.3333333333333;1800427.83333333;1688840.75;111587.083333333;6.19166666666667;32;"Kentucky_1993";3813296;523;13.715;12078;0;0;0;1;1993;"Kentucky";"Employment";1259544;591846;0.46988910272289;21;0.00316733870121805;316.733870121805;2.57177218280958;0.625999999999999;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.61849012438957;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0467179415799843
"260";464;"Kentucky";1994;62.5166666666667;59.175;1828259.58333333;1730309.58333333;97950;5.35;32;"Kentucky_1994";3850039;517;13.428;11995;0;0;0;1;1994;"Kentucky";"Employment";1292731;610869;0.472541464542894;21;0.00311555285543861;311.555285543861;2.61849012438957;-0.286999999999999;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.59734207911779;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.021148045271778
"261";465;"Kentucky";1995;62.7916666666667;59.4083333333333;1856887.58333333;1756729.91666667;100157.666666667;5.4;32;"Kentucky_1995";3887959;480;12.346;14388;0;0;0;1;1995;"Kentucky";"Employment";1347019;635776;0.471987403295722;21;0.00370065630836128;370.065630836128;2.59734207911779;-1.082;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.5133321239717;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0840099551460844
"262";466;"Kentucky";1996;62.7333333333333;59.3333333333333;1873463.33333333;1772118.41666667;101344.916666667;5.38333333333333;32;"Kentucky_1996";3920721;488;12.447;18794;0;0;0;1;1996;"Kentucky";"Employment";1370658;654215;0.477299953744844;21;0.00479350609237434;479.350609237434;2.5133321239717;0.100999999999999;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.52147963001884;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.00814750604713632
"263";467;"Kentucky";1997;63.5583333333333;60.25;1910618.08333333;1811229.25;99388.8333333333;5.225;32;"Kentucky_1997";3953242;488;12.344;21687;0;0;0;1;1997;"Kentucky";"Employment";1422605;690955;0.485697013577205;21;0.00548587716107438;548.587716107438;2.52147963001884;-0.103;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.51317011506086;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.00830951495798082
"264";468;"Kentucky";1998;63.4;60.5333333333333;1923636.5;1836923.41666667;86713.0833333333;4.50833333333333;32;"Kentucky_1998";3987167;526;13.192;22186;1;0;0;1;1998;"Kentucky";"Employment";1443015;710592;0.49243562956726;21;0.00556435183176426;556.435183176426;2.51317011506086;0.848000000000001;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.5796105852573;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.0664404701964383
"265";469;"Kentucky";1999;63.5916666666667;60.75;1947423.83333333;1860024.5;87399.3333333333;4.49166666666667;32;"Kentucky_1999";4018053;470;11.697;20821;1;0;0;1;1999;"Kentucky";"Employment";1469315;729112;0.496225792290966;21;0.00518186295700928;518.186295700928;2.5796105852573;-1.495;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.45933239866857;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.120278186588728
"266";470;"Kentucky";2000;63.4166666666667;60.7833333333333;1957631.66666667;1876384.66666667;81247;4.14166666666667;32;"Kentucky_2000";4041769;520;12.866;21018;1;0;0;1;2000;"Kentucky";"Employment";1513722;756312;0.499637317816614;21;0.00520019823003244;520.019823003244;2.45933239866857;1.169;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.55458817298881;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0952557743202385
"267";471;"Kentucky";2001;62.8666666666667;59.625;1953221.41666667;1851577.58333333;101643.833333333;5.20833333333333;32;"Kentucky_2001";4068132;492;12.094;26183;1;0;0;1;2001;"Kentucky";"Employment";1497466;744641;0.497267383700198;21;0.00643612350828341;643.612350828341;2.55458817298881;-0.772;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.49270946185102;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0618787111377874
"268";472;"Kentucky";2002;62.15;58.5583333333333;1945028.66666667;1832434.75;112593.916666667;5.79166666666667;32;"Kentucky_2002";4089875;539;13.179;27268;1;0;0;1;2002;"Kentucky";"Employment";1462517;728490;0.498107030550756;21;0.00666719643020875;666.719643020875;2.49270946185102;1.085;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.57862465366175;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0859151918107313
"269";473;"Kentucky";2003;62.2666666666667;58.4333333333333;1965518.25;1843910.16666667;121608.083333333;6.19166666666667;32;"Kentucky_2003";4117170;567;13.772;29897;1;0;0;1;2003;"Kentucky";"Employment";1471878;731322;0.496863191106872;21;0.00726154130142792;726.154130142792;2.57862465366175;0.593;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.62263754547628;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0440128918145248
"270";474;"Kentucky";2004;62.025;58.6083333333333;1970014.33333333;1861669.75;108344.583333333;5.5;32;"Kentucky_2004";4146101;560;13.507;28118;1;0;0;1;2004;"Kentucky";"Employment";1489497;730248;0.490264834370261;21;0.00678179330411874;678.179330411874;2.62263754547628;-0.265000000000001;"KY";0;0;0;2000;0;0;2000;"No-Parity";2.60320806957863;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0194294758976499
